scenario,loglikelihood,AIC,deltaAIC,rel.LL,weights
s1,-294.46463804285,596.9292760857,46.7610740600737,7.01393576032827e-11,7.01393572995967e-11
s2,-290.358695988175,588.71739197635,38.549189950724,4.25745200985697e-09,4.25745199142326e-09
s3,-297.967544733749,603.935089467499,53.7668874418725,2.11187756910988e-12,2.11187755996597e-12
bonus,-270.084101012813,550.168202025626,0,1,0.999999995670248
null,-303.735741090535,611.47148218107,61.3032801554438,4.87710216186581e-14,4.87710214074917e-14
