scenario,loglikelihood,AIC,deltaAIC,rel.LL,weights
s1_2WGD,-294.46463804285,596.9292760857,46.7610740600736,7.01393576032867e-11,7.00578330059665e-11
s2_2WGD,-290.358695988175,588.71739197635,38.549189950724,4.25745200985697e-09,4.25250347493202e-09
s3_2WGD,-297.967544733749,603.935089467499,53.7668874418725,2.11187756910988e-12,2.10942288497397e-12
s1_3WGD,-276.840408941651,563.680817883303,13.5126158576767,0.0011635170411921,0.0011621646584287
s2_3WGD,-270.084101012813,550.168202025626,0,1,0.998837676874925
s3_3WGD,-285.768330070024,581.536660140048,31.3684581144222,1.5432129801225e-07,1.54141926798879e-07
null,-303.735741090535,611.47148218107,61.3032801554438,4.87710216186581e-14,4.87143339323972e-14
